StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      103,      00,   201107,   3.29,   79.6,   2.36,   2.36,  -1.61,   1.65,    431,      0,   -.73,   -.02,    .62,   2.37,   1.61,    .93,   1.69,     69,   90.3,
      103,      00,   201108,   2.86,   75.2,   1.56,   1.56,  -1.66,    .16,    289,      6,   -.83,  -1.24,   -.44,   2.23,   1.28,    .95,   1.44,   63.6,   86.8,
      103,      00,   201109,   4.79,   65.1,   2.13,   2.13,   2.17,   1.55,     74,     93,   1.09,     .4,   -.07,   2.26,   1.95,   1.27,   1.58,   54.5,   75.7,
      103,      00,   201110,   2.67,   55.2,   1.89,   1.89,   -.06,   1.25,     10,    336,   -.11,    .56,    .13,    .51,    2.3,   1.52,    .97,   42.9,   67.6,
      103,      00,   201111,   6.04,   47.8,   2.72,   2.72,   3.09,   2.72,      0,    543,   2.03,   1.37,   1.61,    .93,   2.45,   1.95,   1.53,   37.9,   57.6,
      103,      00,   201112,   4.35,   38.3,    3.1,    3.1,   1.97,    3.1,      0,    859,   1.05,   2.02,   1.59,   1.09,   2.62,   2.36,   1.74,   29.7,   46.8,
      103,      00,   201201,   2.88,   35.5,    .01,   2.79,    .02,   2.73,      1,    969,    .08,    .65,   1.59,    1.2,   1.36,   2.56,   1.63,   25.6,   45.4,
      103,      00,   201202,   2.06,   38.6,   -.42,   2.08,  -1.25,   1.46,      0,    786,   -.52,   -.36,    .29,   1.37,    .86,   2.29,   1.67,   29.2,     48,
      103,      00,   201203,   3.67,   56.3,  -1.18,   1.06,  -2.42,   -.57,     40,    351,   -.03,   -.39,   -.35,    .94,    .64,    2.2,   1.73,   44.4,   68.2,
      103,      00,   201204,   2.72,   55.7,  -1.73,  -1.73,  -2.03,  -1.73,      8,    349,  -1.01,   -.67,   -.87,    .62,    .56,    .77,   1.64,   43.3,     68,
      103,      00,   201205,   3.12,   68.5,  -2.39,  -2.39,  -2.52,  -2.39,    151,     75,   -.84,  -1.25,     -1,   -.66,     .4,    .15,   1.03,   56.2,   80.7,
      103,      00,   201206,   1.87,   72.4,  -3.28,  -3.28,   -3.4,  -3.28,    219,     13,  -2.15,  -1.72,  -1.93,  -1.61,   -.51,    -.5,    .49,   59.3,   85.5,
      103,      00,   201207,   3.35,   80.6,     -4,     -4,  -3.18,     -4,    461,      0,   -.67,  -1.76,  -1.66,  -1.75,   -.61,    -.5,    .24,   68.4,   92.8,
      103,      00,   201208,   3.15,   73.9,  -4.18,  -4.18,  -1.79,  -4.18,    257,      8,   -.48,   -.94,  -1.79,  -1.76,  -1.41,   -.45,    .31,   61.2,   86.6,
      103,      00,   201209,   5.26,   65.9,    .79,  -2.97,   2.36,     -2,     83,     84,   1.41,    .83,    .34,   -1.3,  -1.32,   -.35,     .6,   54.3,   77.4,
      103,      00,   201210,   3.79,   53.8,    1.1,  -2.27,   1.19,   -.83,      5,    378,    .71,   1.38,    .99,   -.72,  -1.09,   -.11,   1.01,   43.1,   64.6,
      103,      00,   201211,   1.26,   42.5,    .21,  -2.81,  -2.34,  -2.22,      0,    708,  -1.61,   -.54,    .31,   -.89,   -1.3,  -1.09,    .56,   30.8,   54.1,
      103,      00,   201212,   3.68,   39.7,    .15,  -2.56,   -.11,  -1.97,      1,    819,    .52,    -.7,    -.2,   -.03,  -1.09,  -1.23,    .85,   31.3,   48.1,
      103,      00,   201301,   4.58,   33.4,    .91,  -1.52,   2.33,   -.09,      0,   1034,   1.12,   1.12,    .13,    .66,    -.5,   -.81,    1.2,   24.4,   42.5,
      103,      00,   201302,   2.54,   33.4,    .77,  -1.41,   -.14,   -.06,      0,    945,      0,    .88,    .99,    .82,    -.3,   -.74,   1.01,   24.5,   42.4,
      103,      00,   201303,   3.42,   37.3,    .69,  -1.26,    .01,    .04,      0,    905,   -.23,   -.24,    .54,    .16,    .24,    -.8,     .8,   28.7,     46,
